Junction,Direction,2/24/2023,2/25/2023,2/26/2023,2/27/2023,2/28/2023,3/1/2023,3/2/2023,3/3/2023,3/4/2023,3/5/2023,3/6/2023,3/7/2023,3/8/2023,3/9/2023,3/10/2023,3/11/2023,3/12/2023,3/13/2023,3/14/2023,3/15/2023,3/16/2023,3/17/2023,3/18/2023,3/19/2023,3/20/2023,3/21/2023,3/22/2023,3/23/2023,3/24/2023
J47-J48,North,70,70,70,70,69,69,70,70,70,70,70,67,70,70,65,70,70,70,70,69,70,70,70,70,70,69,64,,
J47-J48,South,70,70,59,70,63,64,70,66,70,69,70,63,70,67,63,64,70,64,70,58,69,69,70,59,70,70,59,54,70
J46-J47,North,68,70,70,70,65,70,70,69,70,70,69,67,67,70,67,70,70,70,68,63,67,67,70,68,70,68,61,44,52
J46-J47,South,70,70,69,70,69,67,69,69,70,68,70,70,70,69,65,68,70,67,70,62,66,66,70,60,70,70,60,54,70
J45-J46,North,63,68,70,68,65,66,66,66,70,70,65,65,63,68,65,65,70,70,62,59,68,68,70,69,70,68,60,57,58
J45-J46,South,70,70,70,70,68,65,68,68,70,70,70,70,70,70,67,67,70,70,70,60,65,65,70,68,70,68,62,55,70
J43|44-J45,North,66,68,70,67,62,68,67,69,67,70,70,64,68,70,66,67,70,70,69,66,69,69,70,67,70,68,60,67,70
J43|44-J45,South,59,55,66,69,65,66,25,66,63,68,69,64,65,47,64,55,64,65,67,58,65,65,68,60,70,66,60,55,59
J42-J43|44,North,57,60,59,58,56,59,58,58,60,58,59,59,58,58,52,60,58,61,61,50,56,56,59,61,59,60,57,54,53
J42-J43|44,South,48,41,52,49,48,51,35,51,50,50,50,49,45,41,51,50,50,49,50,43,52,52,51,49,46,50,52,49,52
J41-J42,North,50,50,50,50,50,50,51,52,51,53,50,51,53,50,46,53,50,53,51,52,45,45,51,57,50,54,56,51,53
J41-J42,South,51,66,68,64,58,67,60,66,58,66,58,65,60,62,54,64,67,69,58,61,62,62,68,59,66,68,64,65,65
J40-J41,North,68,64,69,66,65,66,67,66,65,68,66,69,64,69,51,69,62,68,67,62,57,57,69,68,63,68,64,59,70
J40-J41,South,53,67,67,66,55,66,64,67,50,63,59,64,63,64,55,63,64,70,63,63,54,54,70,62,65,70,62,64,62
J39-J40,North,68,63,69,70,63,64,66,65,68,64,66,63,68,68,54,63,66,65,67,56,69,69,70,67,64,70,61,56,67
J39-J40,South,56,65,65,68,59,67,64,67,64,68,62,64,67,48,55,62,60,68,60,67,65,65,64,64,65,69,67,65,67
J38-J39,North,69,67,70,70,64,67,64,69,70,69,70,67,70,69,51,66,66,69,69,62,69,69,70,70,68,70,65,70,70
J38-J39,South,65,69,70,69,66,69,68,68,68,70,68,68,69,64,55,65,63,68,62,62,67,67,69,66,62,69,64,64,66
J37-J38,North,69,68,70,69,67,69,63,69,70,70,70,67,66,64,53,68,68,70,70,61,64,64,69,70,68,67,56,69,70
J37-J38,South,67,68,68,68,68,70,60,70,66,69,68,70,69,52,56,62,66,69,62,63,67,67,70,69,63,70,61,64,67
J36-J37,North,69,51,70,70,70,68,63,68,70,70,70,67,69,62,56,62,64,70,70,70,68,68,69,65,70,62,59,70,70
J36-J37,South,68,67,67,69,68,70,62,67,67,70,68,66,68,52,56,64,62,67,64,69,64,64,70,66,67,68,64,67,67
J35A-J36,North,66,66,70,70,70,67,41,63,70,70,70,66,70,44,56,70,66,70,68,70,59,59,69,64,68,63,56,67,70
J35A-J36,South,68,68,63,70,56,70,64,64,69,70,70,70,69,62,52,65,58,68,61,64,61,61,69,56,65,69,62,66,69
J35-J35A,North,55,67,67,66,65,62,56,61,65,68,70,65,67,34,56,69,63,69,70,67,60,60,66,62,67,61,56,55,67
J35-J35A,South,51,64,69,70,68,67,68,64,68,67,69,68,67,62,56,66,62,68,63,67,64,64,70,54,65,70,59,61,69
J34-J35,North,57,64,67,64,60,63,63,60,63,64,70,64,64,59,60,67,65,69,66,62,63,63,64,54,68,62,55,60,67
J34-J35,South,55,59,61,67,68,63,65,66,63,66,62,64,64,62,56,68,63,68,60,69,60,60,65,54,67,67,61,56,67
J33-J34,North,58,58,61,60,60,58,59,58,61,60,65,62,58,59,58,61,60,65,62,58,63,63,61,53,63,59,56,59,60
J33-J34,South,63,60,57,60,59,60,59,64,58,59,57,60,61,58,58,60,58,65,58,63,58,58,61,55,62,61,61,57,66
J32-J33,North,62,60,59,60,38,60,61,66,68,63,66,63,61,59,63,61,61,66,62,65,68,68,61,66,63,60,55,62,61
J32-J33,South,59,61,61,64,67,62,64,70,63,64,64,64,67,23,61,58,64,70,64,66,56,56,65,56,70,65,61,63,62
J31-J32,North,67,66,68,61,68,64,65,69,69,70,68,69,66,57,64,65,67,69,66,68,69,69,59,69,67,65,59,64,60
J31-J32,South,60,59,66,68,63,65,66,70,68,68,70,64,65,48,56,63,61,68,54,66,44,44,63,63,69,65,65,61,64
J30-J31,North,69,65,67,68,68,70,68,70,67,70,68,70,69,63,66,7,70,63,69,70,69,69,67,70,64,69,58,61,58
J30-J31,South,64,66,69,70,65,66,68,69,69,68,70,65,65,65,54,58,64,70,61,65,60,60,59,64,70,67,66,60,60
J29A-J30,North,68,52,68,70,64,69,68,69,68,68,66,65,68,67,66,42,69,62,66,70,57,57,69,70,51,68,55,56,62
J29A-J30,South,69,67,70,70,66,61,65,68,70,70,70,65,70,67,61,55,68,69,67,63,65,65,60,65,69,67,64,63,56
J29-J29A,North,69,59,69,70,70,70,55,68,70,69,68,70,68,68,68,58,67,68,57,70,65,65,70,69,69,66,55,56,70
J29-J29A,South,69,65,70,69,66,67,64,69,69,70,70,67,70,67,61,55,70,69,66,54,68,68,56,63,70,70,53,63,56
J28-J29,North,70,69,70,70,64,67,61,66,69,69,69,63,68,67,65,63,65,68,42,70,70,70,68,68,70,69,60,68,70
J28-J29,South,47,59,69,70,38,70,62,67,67,69,68,65,68,66,57,50,62,69,62,67,65,65,67,66,66,67,67,67,56
J27-J28,North,70,54,69,70,68,67,48,70,70,70,69,64,67,58,67,70,67,69,63,68,69,69,65,70,67,68,64,68,65
J27-J28,South,61,63,69,67,69,65,68,66,70,70,67,70,66,63,60,62,69,69,63,64,65,65,66,67,69,70,65,56,59
J26-J27,North,70,66,67,67,65,66,59,68,68,66,69,67,66,69,51,70,70,70,70,66,65,65,68,68,70,70,57,70,54
J26-J27,South,59,70,70,67,69,69,70,69,68,70,68,70,67,67,59,62,67,68,66,69,65,65,63,69,65,69,56,59,66
J25-J26,North,66,64,70,68,67,68,64,70,69,57,68,67,66,64,65,68,67,69,70,70,68,68,69,66,69,70,56,58,64
J25-J26,South,57,68,69,70,64,68,70,64,68,68,68,70,69,67,55,63,70,68,67,62,67,67,67,63,58,65,63,57,66
J24A-J25,North,57,61,69,68,69,69,56,70,68,48,65,67,66,64,66,69,67,68,60,69,69,69,68,67,66,67,55,57,58
J24A-J25,South,59,65,70,68,70,67,67,68,70,67,70,70,70,66,59,55,66,68,60,70,68,68,62,69,70,63,55,59,66
J24-J24A,North,62,62,70,69,70,69,67,70,68,69,66,70,67,66,66,70,67,70,62,67,68,68,70,70,70,68,63,58,55
J24-J24A,South,58,63,70,57,70,65,65,67,70,65,68,69,69,65,60,56,68,65,60,70,67,67,65,69,68,67,55,58,64
J23A-J24,North,69,62,69,68,68,65,65,70,69,70,68,64,66,65,62,66,69,68,67,62,68,68,68,69,70,68,57,64,57
J23A-J24,South,59,66,70,60,67,65,65,67,70,62,67,67,64,65,62,58,63,65,63,66,66,66,64,67,68,66,54,57,65
J23-J23A,North,35,57,69,67,70,63,52,70,70,70,68,66,67,67,64,67,70,67,70,61,69,69,70,70,69,70,64,57,61
J23-J23A,South,35,57,70,68,70,68,67,66,70,66,70,67,70,69,69,66,67,67,64,70,70,70,65,69,68,67,56,60,68
J22-J23,North,58,55,70,68,70,65,51,70,70,70,70,63,70,65,58,66,70,70,70,63,70,70,70,66,68,70,63,61,70
J22-J23,South,54,56,70,66,70,68,63,67,70,67,70,67,66,65,69,57,70,68,65,70,67,67,66,68,66,66,53,56,60
J21A-J22,North,41,27,70,65,69,62,67,69,66,67,69,69,70,62,63,59,70,70,67,67,70,70,70,66,61,70,60,7,67
J21A-J22,South,63,64,70,70,63,68,58,70,66,70,70,69,68,70,65,52,69,70,70,65,68,68,68,69,64,68,57,54,63
J21-J21A,North,68,32,65,63,64,62,50,63,68,64,65,65,64,38,63,58,67,63,65,64,65,65,65,67,63,67,57,,58
J21-J21A,South,70,61,69,67,63,62,33,70,65,67,67,66,60,53,60,66,69,67,65,62,57,57,61,64,64,66,57,61,56
J20-J21,North,68,65,70,67,70,59,64,68,70,66,70,70,69,67,61,70,70,70,70,65,67,67,70,70,66,65,57,56,67
J20-J21,South,70,69,70,70,70,69,70,63,70,70,70,69,69,65,62,64,70,70,70,68,66,66,66,70,68,68,58,64,57
J19-J20,North,52,70,70,70,62,67,65,70,60,70,70,68,70,64,66,67,70,70,70,69,69,69,70,65,62,69,61,60,55
J19-J20,South,70,66,69,62,68,69,69,67,70,70,69,69,70,63,70,62,69,68,68,69,62,62,68,70,58,70,63,55,63
J18-J19,North,61,67,66,67,62,67,59,68,43,69,69,65,68,63,66,67,61,68,67,66,67,67,66,66,65,66,62,68,58
J18-J19,South,56,65,67,59,70,67,66,68,70,69,68,64,66,62,63,68,70,66,59,65,60,60,68,70,63,67,57,60,65
J17-J18,North,63,69,63,67,65,66,60,69,50,68,70,66,70,63,65,67,69,70,68,67,64,64,62,65,70,63,62,68,64
J17-J18,South,57,54,68,61,70,66,65,66,66,67,70,63,66,63,66,68,70,68,58,67,55,55,66,70,69,68,53,58,53
J16-J17,North,65,64,63,67,65,66,56,66,63,68,69,57,66,62,64,62,70,69,65,67,63,63,61,61,67,67,60,57,58
J16-J17,South,60,63,66,45,69,66,63,68,65,68,69,61,68,64,65,56,70,68,60,70,66,66,63,67,67,68,61,61,55
J15A-J16,North,59,58,62,60,60,57,37,58,54,58,62,57,60,62,63,64,69,67,61,64,63,63,68,62,65,68,60,5,55
J15A-J16,South,58,59,59,53,58,58,58,57,60,59,59,57,58,61,61,56,70,67,60,69,63,63,63,64,67,68,67,57,59
J15-J15A,North,58,59,62,59,60,59,55,57,59,60,62,57,63,62,66,63,67,68,64,62,63,63,68,64,64,66,56,,50
J15-J15A,South,55,59,58,57,57,58,59,54,57,59,63,56,58,61,64,64,67,66,61,67,67,67,64,62,68,65,63,66,59
J14-J15,North,47,64,64,62,64,65,64,63,65,66,66,61,63,61,61,62,67,64,67,62,63,63,66,60,66,66,58,28,64
J14-J15,South,59,63,63,64,60,61,63,62,60,65,66,62,64,64,65,62,67,67,61,64,69,69,65,65,70,67,63,67,55
J13-J14,North,63,69,65,64,65,64,65,62,67,65,68,65,64,61,59,53,68,58,63,63,61,61,65,64,69,67,64,57,63
J13-J14,South,61,60,65,62,60,66,63,62,66,65,68,64,66,34,59,57,64,19,58,62,68,68,66,68,69,34,,50,54
J12-J13,North,58,47,56,57,59,54,49,59,59,61,58,56,55,45,58,57,62,43,61,59,57,57,47,56,62,60,58,55,58
J12-J13,South,59,59,60,60,59,60,58,61,64,64,67,62,57,46,54,54,62,52,59,65,63,63,65,65,67,47,3,,4
J11A-J12,North,64,51,62,60,64,64,50,65,65,65,63,65,61,57,65,63,67,60,66,64,66,66,60,61,68,70,61,64,68
J11A-J12,South,62,58,60,64,63,63,56,61,62,64,64,64,59,56,58,56,63,58,62,64,60,60,65,60,66,33,59,60,64
J11-J11A,North,65,55,57,58,65,60,56,63,58,58,57,64,57,55,61,64,65,59,61,62,66,66,60,59,67,62,57,64,66
J11-J11A,South,62,56,58,57,64,61,56,60,61,57,58,64,57,42,57,57,60,55,65,61,61,61,66,53,61,30,54,50,49
J10-J11,North,65,45,56,58,67,57,56,60,58,59,57,59,55,53,59,64,65,57,58,61,63,63,54,58,59,60,64,66,69
J10-J11,South,62,57,58,57,64,59,56,62,58,58,58,59,58,44,60,59,55,55,64,62,63,63,64,46,56,43,58,54,58
J9-J10,North,68,55,57,61,68,56,51,58,64,66,59,65,55,48,62,65,69,61,60,66,65,65,57,62,68,68,65,67,70
J9-J10,South,68,63,65,63,65,64,65,64,65,64,64,63,65,57,64,62,65,61,67,64,67,67,67,60,60,50,63,66,63
J8-J9,North,67,57,61,60,64,58,36,59,63,66,61,64,44,32,62,64,67,42,63,64,58,58,58,61,65,18,68,8,68
J8-J9,South,65,60,63,63,63,55,62,64,61,63,61,62,61,52,59,66,62,61,59,62,62,62,62,60,63,26,61,64,63
J7-J8,North,58,56,55,61,56,59,32,59,57,63,63,55,51,45,58,58,59,58,57,57,61,61,57,58,55,46,54,53,58
J7-J8,South,57,58,58,58,59,56,51,57,57,63,57,56,57,46,55,59,59,59,58,64,55,55,58,60,60,58,56,64,61
J6A-J7,North,70,60,62,41,60,59,28,61,63,65,60,61,57,24,60,62,64,58,63,63,63,63,49,61,64,22,68,48,65
J6A-J7,South,63,58,50,62,62,63,58,62,39,63,63,52,58,39,57,66,66,40,60,63,61,61,63,42,61,58,56,65,67
J6-J6A,North,69,62,58,53,60,62,19,65,60,63,61,63,62,9,60,59,62,64,67,63,66,66,51,59,65,48,64,60,61
J6-J6A,South,67,67,70,70,69,68,69,70,54,68,67,69,67,60,63,69,69,69,70,69,66,66,65,58,70,68,62,69,51
J5-J6,North,70,63,63,67,69,70,67,66,68,68,59,64,61,26,65,70,64,68,68,70,64,64,66,68,66,63,65,58,65
J5-J6,South,70,68,66,65,69,70,67,64,62,69,66,68,64,64,64,70,67,62,68,67,65,65,62,59,68,68,61,70,63
J4-J5,North,70,64,69,70,70,69,70,64,69,68,60,68,68,36,66,69,68,69,70,63,57,57,67,70,67,67,62,56,68
J4-J5,South,67,65,63,64,68,70,67,63,60,65,68,66,66,63,68,65,63,63,68,68,66,66,65,63,67,66,69,64,54
J2-J4,North,70,66,63,66,70,68,70,66,62,70,60,67,66,64,69,65,68,69,64,67,67,67,65,70,68,64,64,58,70
J2-J4,South,69,68,65,61,68,66,63,60,63,69,69,69,70,66,65,66,68,63,70,66,64,64,70,69,66,67,59,70,70
J1-J2,North,70,66,62,64,62,70,70,70,58,70,58,68,69,64,66,63,62,70,59,69,69,69,64,70,67,65,60,66,70
J1-J2,South,63,58,54,54,61,57,52,57,63,59,56,55,57,54,55,60,59,53,54,53,56,56,59,56,55,53,58,60,59
